种类,职权种类
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
090000,行政奖励
090000,行政奖励
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
990000,其他
080000,行政检查
990000,其他
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
040000,行政确认
040000,行政确认
040000,行政确认
040000,行政确认
040000,行政确认
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
020000,行政许可
990000,其他
990000,其他
990000,其他
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
040000,行政确认
040000,行政确认
040000,行政确认
990000,其他
990000,其他
990000,其他
990000,其他
090000,行政奖励
090000,行政奖励
990000,其他
040000,行政确认
040000,行政确认
090000,行政奖励
020000,行政许可
020000,行政许可
020000,行政许可
090000,行政奖励
990000,其他
090000,行政奖励
090000,行政奖励
990000,其他
990000,其他
090000,行政奖励
090000,行政奖励
090000,行政奖励
090000,行政奖励
090000,行政奖励
990000,其他
990000,其他
990000,其他
040000,行政确认
020000,行政许可
020000,行政许可
990000,其他
020000,行政许可
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
040000,行政确认
040000,行政确认
040000,行政确认
990000,其他
990000,其他
080000,行政检查
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
040000,行政确认
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
080000,行政检查
990000,其他
990000,其他
990000,其他
010000,行政处罚
010000,行政处罚
010000,行政处罚
990000,其他
040000,行政确认
040000,行政确认
040000,行政确认
040000,行政确认
040000,行政确认
990000,其他
990000,其他
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
030000,行政强制
030000,行政强制
030000,行政强制
030000,行政强制
030000,行政强制
030000,行政强制
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
010000,行政处罚
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
050000,行政征收
050000,行政征收
050000,行政征收
050000,行政征收
050000,行政征收
050000,行政征收
990000,其他
990000,其他
020000,行政许可
020000,行政许可
070000,行政给付
990000,其他
070000,行政给付
990000,其他
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
990000,其他
020000,行政许可
040000,行政确认
040000,行政确认
990000,其他
080000,行政检查
080000,行政检查
020000,行政许可
010000,行政处罚
040000,行政确认
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
010000,行政处罚
990000,其他
010000,行政处罚
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
010000,行政处罚
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
040000,行政确认
040000,行政确认
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
010000,行政处罚
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
990000,其他
990000,其他
030000,行政强制
030000,行政强制
990000,其他
990000,其他
990000,其他
050000,行政征收
040000,行政确认
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
080000,行政检查
020000,行政许可
020000,行政许可
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
040000,行政确认
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
990000,其他
990000,其他
990000,其他
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
990000,其他
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
080000,行政检查
990000,其他
990000,其他
990000,其他
020000,行政许可
990000,其他
990000,其他
990000,其他
080000,行政检查
010000,行政处罚
990000,其他
080000,行政检查
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
020000,行政许可
030000,行政强制
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
010000,行政处罚
